line,OE,ME
3069,Swá hit oð dómes        dæg    díope benemdon,Thus until judgement's        day    deeply declared
3070,þéodnas maére    þá        ðæt þaér dydon·,"the great        princes,    who put it there,"
3071,þæt se secg        waére    synnum scildig,"that the man would        be     guilty of crimes,"
3072,hergum        geheaðerod    hellbendum fæst,"banned from sacred        places,    in hell-bonds fast,"
3073,wommum        gewítnad    sé ðone wong strude·,"reproached for his        transgressions,    he who plundered that place;"
3074,næs hé        goldhwæte    gearwor hæfde,he        was not liberal with gold    (nor) had he        readily
3075,ágendes ést    aér        gescéawod.,the kindness of a lord            ever shown.
3076,Wígláf maðelode            Wíhstánes sunu:,"Wiglaf        spoke,    the son of Weohstan,"
3077,'Oft sceall eorl        monig    ánes willan,"'Often must many        men,    for the will of one,"
3078,wraéc        ádréogan    swá ús geworden is·,"endure exile,    as        it has happened to us;"
3079,ne meahton wé        gelaéran    léofne þéoden,"we could not        convince     the beloved prince,"
3080,ríces hyrde    raéd        aénigne·,"the keeper of the        kingdom,    by any counsel,"
3081,þæt hé ne        grétte    goldweard þone·,"that he not        greet    the gold-ward,"
3082,"léte hyne        licgean    þaér hé longe wæs,","let him        lie,    where he long had been,"
3083,wícum wunian    oð        woruldende·,inhabiting his        abodes     until the world's end;
3084,"heoldon        héahgesceap·    hord ys gescéawod,","he held to his noble destiny;    the hoard is exposed, "
3085,grimme        gegongen·    þæt gifeðe wæs,grimly        gained;    that was granted
3086,tó swíð þé        ðone    þyder ontyhte.,too harshly which        him     impelled thither.
3087,Ic wæs þaér        inne    ond þæt eall geondseh,"I was there        inside    and looked over all of it,"
3088,"recedes        geatwa    þá mé gerýmed wæs,","the trappings of the        hall,    when the way was cleared for me,"
3089,nealles        swaéslíce    síð álýfed,not at all        sweetly    was the errand allowed
3090,inn under        eorðweall·    ic on ofoste geféng,inside the        earthwall;    I seized in haste
3091,micle mid        mundum    mægenbyrðenne,"much with my        hands,    a mighty burden"
3092,hordgestréona·    hider út        ætbær,"of        hoard-treasures,    bore it out hither"
3093,cyninge        mínum·    cwico wæs þá géna,"to my king;    he        was still alive then,"
3094,wís ond        gewittig·    worn eall gespræc,"wise and        knowing;    he spoke much on many things,"
3095,gomol on        gehðo    ond éowic grétan hét·,"old in his        grief,    and commanded me greet you all,"
3096,bæd þæt gé        geworhton    æfter wines daédum,bid that you        build    in accord of your friend's deeds
3097,in        baélstede    beorh þone héän,"in the cremation        place    a high barrow,"
3098,micelne ond        maérne    swá hé manna wæs,"large and        splendid,    as he was of men"
3099,wígend        weorðfullost    wíde geond eorðan,"a warrior most        honoured     thought this wide earth,"
3100,þenden hé        burhwelan    brúcan móste.,while he the prosperity of a        city    could enjoy.
3101,Uton nú        efstan    óðre síðe,Let us now        hasten    another time
3102,séon ond        sécean    on searogeþræc,"to see and to        seek    in that heap of cunningly wrought        things,"
3103,wundur under        wealle·    ic éow wísige,"a wonder under the        walls;    I shall guide you,"
3104,þæt gé        genóge    néon scéawiað,so that you        sufficient    close-up will see
3105,béagas ond brád        gold·    síe sío baér gearo,"rings and broad        gold;     let the bier be ready,"
3106,aédre        geæfned    þonne wé út cymen,"quickly        prepared,    when we come out,"
3107,ond þonne        geferian    fréan úserne,"and then        carry    our lord,"
3108,léofne        mannan    þaér hé longe sceal,"beloved        man,    where he must long"
3109,on ðæs        waldendes    waére geþolian.',in the Ruler's            protection endure.'
3110,Hét ðá        gebéodan    byre Wíhstánes,"He then commanded to        direct,    the son of Weohstan,"
3111,hæle        hildedíor    hæleða monegum,"the battle-brave        hero,     many warriors,"
3112,boldágendra     þæt        híe baélwudu,"house-holders,    that they the        pyre-wood"
3113,feorran        feredon    folcágende,"to fetch from        afar,     folk-chieftains,"
3114,"gódum        tógénes:    'Nú sceal gléd fretan,","to the good        man:    'Now must the fire devour,"
3115,weaxan wonna        lég    wigena strengel,"the dim flame        grow,    the ruler of warriors,"
3116,þone ðe oft        gebád    ísernscúre,"he who often        endured     shower of iron,"
3117,þonne straéla        storm    strengum gebaéded,"when the storm of        arrows,    impelled by bow-strings,"
3118,scóc ofer        scildweall·    sceft nytte héold,"shot over the        shield-wall;    shaft held true to task,"
3119,fæðergearwum        fús·    fláne fulléode.',"its feather-trappings        eager,    arrow-head followed.'"
3120,Húru se        snotra    sunu Wíhstánes,Indeed the        wise    son of Weohstan
3121,ácígde of        corðre    cyniges þegnas,"summoned from the        troop     of king's thanes,"
3122,syfone        tósomne    þá sélestan·,"seven        altogether,    the best;"
3123,éode eahta        sum    under inwithróf,"he went, one of        eight,     under the evil roof"
3124,hilderinc·sum    on handa bær,one        battle-man    bore in his hands
3125,aéledléoman     sé        ðe on orde géong.,"a fire-brand,    he        who went in the fore-front."
3126,Næs ðá on        hlytme    hwá þæt hord strude,"It was not in a casting of        lots,    who would plunder that hoard,"
3127,syððan        orwearde    aénigne daél,when        unprotected    any part
